,text,label
0,i didnt feel humiliated,0
1,i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,0
2,im grabbing a minute to post i feel greedy wrong,3
3,i am ever feeling nostalgic about the fireplace i will know that it is still on the property,2
4,i am feeling grouchy,3
5,ive been feeling a little burdened lately wasnt sure why that was,0
6,ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,5
7,i feel as confused about life as a teenager or as jaded as a year old man,4
8,i have been with petronas for years i feel that petronas has performed well and made a huge profit,1
9,i feel romantic too,2
10,i feel like i have to make the suffering i m seeing mean something,0
11,i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,1
12,i think it s the easiest time of year to feel dissatisfied,3
13,i feel low energy i m just thirsty,0
14,i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,1
15,i do not feel reassured anxiety is on each side,1
16,i didnt really feel that embarrassed,0
17,i feel pretty pathetic most of the time,0
18,i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,0
19,i now feel compromised and skeptical of the value of every unit of work i put in,4
20,i feel irritated and rejected without anyone doing anything or saying anything,3
21,i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,4
22,i have the feeling she was amused and delighted,1
23,i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,1
24,i already feel like i fucked up though because i dont usually eat at all in the morning,3
25,i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,0
26,i feel so inhibited in someone elses kitchen like im painting on someone elses picture,0
27,i become overwhelmed and feel defeated,0
28,i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,3
29,i feel more superior dead chicken or grieving child,1
30,i get giddy over feeling elegant in a perfectly fitted pencil skirt,1
31,i remember feeling acutely distressed for a few days,4
32,i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,5
33,i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,3
34,i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,1
35,i am not sure what would make me feel content if anything,1
36,i have been feeling the need to be creative,1
37,i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,1
38,i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,3
39,i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,1
40,i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,1
41,i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,1
42,ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,1
43,i feel very strongly passionate about when some jerk off decides to poke and make fun of us,1
44,i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,0
45,i was feeling listless from the need of new things something different,0
46,i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,1
47,i can t let go of that sad feeling that i want to be accepted here in this first home of mine,2
48,on a boat trip to denmark,1
49,i stopped feeling cold and began feeling hot,3
50,i need to feel the dough to make sure its just perfect,1
51,i found myself feeling a little discouraged that morning,0
52,i feel selfish and spoiled,3
53,i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,4
54,i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,1
55,i feel you know basically like a fake in the realm of science fiction,0
56,i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,0
57,i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,5
58,i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,1
59,i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,1
60,i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,1
61,i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,2
62,i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,4
63,i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,4
64,i am now nearly finished the week detox and i feel amazing,5
65,i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,3
66,i know the pain parents feel when an enraged child becomes violent,3
67,i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,0
68,i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,2
69,i was feeling brave when i bought it and clearly when i was doing my makeup,1
70,i am feeling miserable but c i am also the proudest mum on earth,0
71,i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,0
72,i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,1
73,i can feel my ovaries aching talking to me as i like to put it,0
74,i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,0
75,im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,0
76,i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,1
77,i think feelings are one of nay the most important things we have,1
78,i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,1
79,i feel angered and firey,3
80,i feel like a miserable piece of garbage,0
81,i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,3
82,i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,3
83,i remember feeling so hellip furious with the shooter,3
84,i feel very happy and excited since i learned so many things,1
85,i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,1
86,i only have a couple of things left to make and at the start of december i am done and feeling smug,1
87,i think about how u could make me feel and realize that everything will be ok,1
88,i feel so worthless during those times i was struggling finding work,0
89,i will be able to lay on my bed in the dark and not feel terrified at least for a while,4
90,i was ready to meet mom in the airport and feel her ever supportive arms around me,2
91,im feeling bitter today my mood has been strange the entire day so i guess its that,3
92,when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,0
93,i am letting go of the animosity that is towards anyone that i feel has wronged me,3
94,i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,2
95,i feel like throwing away the shitty piece of shit paper,0
96,im starting to feel wryly amused at the banal comedy of errors my life is turning into,1
97,i find every body beautiful and only want people to feel vital in their bodies,1
98,i hear are owners who feel victimized by their associations the associations attorneys or the property manager,0
99,i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,3
100,i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months,2
101,i alba i feel good and im fitting in,1
102,i feel excited about what im doing again i feel like i have a ton of catching up to do,1
103,i also know how good it feels to look back and see that i honored my word and that helps from the start,1
104,i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,0
105,i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,1
106,i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger,1
107,i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street,1
108,finding out that i am not ill not seriously,1
109,i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,0
110,i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,1
111,i am feeling all useful,1
112,i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,2
113,i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,0
114,im not feeling homesick yet so im feeling alright about this,0
115,i dance i should feel pretty,1
116,i workout every morning before and feel fabulous for it,1
117,i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,0
118,i was feeling fabulous until friday morning when i started to get these awful cramps at work,1
119,i feel honoured to have been able to call them friends to share their brotherhood,1
120,i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,4
121,i had stated to her the reason i feel so fearful is because i feel unsafe,4
122,i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,4
123,i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,0
124,i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved,2
125,i feel they are pretty safe on my blog img src http s,1
126,i feel pretty eager to get it done as i have a fun plan for quilting it,1
127,i am feeling horny so i ask her that lets go home,2
128,i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,4
129,i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home,5
130,i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,1
131,i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day,1
132,i was still feeling strong,1
133,i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him,1
134,i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,3
135,i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,4
136,i clench to the corners of the bed to feel assured,1
137,i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,3
138,i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question,2
139,i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,3
140,i do not feel miserable at all because my family is not the type that celebrates eid,0
141,i might go get a car wash if i am feeling really generous my car needs it,1
142,i still feel sleep deprived she is almost sleeping through the night giving us,0
143,i just feel really violent right now,3
144,i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we,1
145,i started feeling funny and then friday i woke up sick as a dog,5
146,i feel a need to protect my parents against the witch hunt that repressed memory therapy can be,0
147,i feel disgusted to even be associated with this woman by my race and nationality,3
148,i laughed then bitterly again but i wasnt feeling bitter,3
149,i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever,0
150,i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold,1
151,i told him that maybe i just need time to think how ive been feeling indecisive about things lately,4
152,i still feel it does the genre a disservice when stories are resolved artifically,1
153,i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed,1
154,i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off,4
155,i could feel her whimper to the thought of being unloved and uncared for,0
156,im certainly not going to sit and tell you whats going on in my personal life but i feel that if you were ever curious about whats going in my life all youd have to do is watch the show,5
157,im sorry that there wasnt more humor in this post but im not feeling all that funny,5
158,i feel ive got my foot in the door of the fantastic world of walking and running the trails fells and mountains,1
159,i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love,3
160,i feel strange coming back to work after my one day holiday,4
161,im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,3
162,i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls,0
163,i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either,3
164,i feel so sad and hopeless,0
165,im getting the feeling that my classes are a little intimidated by the concept of a lit,4
166,i still feel groggy but i have to get up to do the routine for my son,0
167,i have a feeling my view isnt going to be very popular and thats fine,1
168,i want to hold this feeling of shocked awe and wonder forever,5
169,when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures,4
170,i want to feel valued i do and appreciated i do and know the people who love me arent going anywhere even if the nature of the relationship changes,1
171,i know there are days in which you feel distracted,3
172,i use it regularly with relaxing music and always feel invigorated afterward,1
173,im feeling distracted i tend to practice with my eyes shut as much as possible,3
174,i feel like its perfect a w see youtube has its influences i even know trends,1
175,i specifically wanted tango was feeling shy and maks quite the opposite hard to get far enough away from him to get good pics lol,4
176,i also didn t feel very weird sleeping in my bed while the two of them slept in hers,4
177,i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy,0
178,ive lost some weight such that i could fit into a tiny skirt that ive been unable to wear because i didnt feel confident in it until now,1
179,i hope to feel a bit more creative again soon and miss its presence in my life blog,1
180,i am no fan of the current president i am a conservative and it made me feel unwelcome,0
181,i will enclose her verses on her could not weigh much more thinking and feeling curious to hear the odd couple,5
182,i begin to feel complacent with my life here,1
183,i feel vulnerable and alone,4
184,i remember feeling inspired and thinking that it was a fine example of parenting,1
185,i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving,0
186,i really feel that my life is perfect right now and if it isnt too much to ask for i just hope that everything would stay the same,1
187,im there i simply feel contented,1
188,im not saying cut everyone out of your life but i feel its important to find comfort in solitude meditation or working on projects alone,1
189,i think im just being stupid feeling nervous,4
190,i feel honored by it,1
191,i was feeling an act of god at work in my life and it was an amazing feeling,5
192,i feel im like a bird flying in the air in a very carefree manner,1
193,i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended,3
194,i felt sad when a friend of mine died and i felt that something had irrevocably gone away from me,0
